id,orders_id,product_id,quantity,total_price
1,7019,28,1,186
2,8827,29,1,110
3,3863,38,1,385
4,5002,37,1,493
5,6337,28,1,186
6,915,18,1,20
7,6664,24,1,2663
8,6917,44,2,164
9,872,23,1,2795
10,8532,6,1,15
11,8945,44,1,82
12,5086,34,2,286
13,9358,22,2,2304
14,5086,45,3,108
15,4252,19,1,23
16,9316,16,1,42
17,3273,36,1,377
18,9561,35,2,1204
19,8970,26,1,53
20,6975,40,1,128
21,9531,33,2,222
22,1567,9,1,11
23,5345,4,1,57
24,4270,15,2,92
25,4369,46,1,16
26,9174,48,2,110
27,7870,26,1,53
28,2128,10,2,3904
29,395,35,5,3010
30,5849,14,4,7096
31,1260,36,1,377
32,3344,2,5,375
33,2191,13,2,3652
34,6465,7,3,30
35,6236,29,1,110
36,3610,9,1,11
37,5001,49,1,39
38,1874,13,1,1826
39,6345,3,2,140
40,4214,10,1,1952
41,7846,14,1,1774
42,2311,25,1,144
43,9210,34,4,572
44,439,20,1,1720
45,6663,39,1,580
46,3815,18,4,80
47,4954,17,2,90
48,129,46,1,16
49,5509,27,2,272
50,9637,23,1,2795
51,4245,15,3,138
52,2410,24,1,2663
53,5514,32,4,656
54,3449,25,1,144
55,2216,28,1,186
56,7333,42,2,194
57,8248,23,1,2795
58,4128,30,1,110
59,5353,43,2,206
60,4461,19,1,23
61,5834,10,1,1952
62,6893,18,1,20
63,1880,45,3,108
64,9867,43,1,103
65,3770,40,1,128
66,1381,16,1,42
67,453,38,1,385
68,2583,38,5,1925
69,4922,15,2,92
70,9602,20,1,1720
71,757,39,3,1740
72,5970,42,2,194
73,3638,38,2,770
74,1492,40,1,128
75,4900,29,2,220
76,3460,0,2,192
77,2485,33,3,333
78,3461,7,1,10
79,146,45,1,36
80,8707,28,1,186
81,4989,18,3,60
82,7838,12,1,1992
83,7616,45,1,36
84,1387,5,1,29
85,8746,31,1,170
86,9236,16,3,126
87,7394,20,1,1720
88,7408,30,2,220
89,2285,33,4,444
90,757,31,1,170
91,6460,12,1,1992
92,8949,43,1,103
93,1641,38,2,770
94,9060,32,2,328
95,1429,8,1,15
96,9240,23,1,2795
97,2867,29,3,330
98,3421,47,1,32
99,6761,47,1,32
100,6276,40,1,128
101,622,39,4,2320
102,7972,38,5,1925
103,270,38,4,1540
104,6528,36,1,377
105,9019,20,1,1720
106,367,27,5,680
107,2539,15,1,46
108,269,0,1,96
109,2905,27,1,136
110,2368,42,1,97
111,8204,14,1,1774
112,2155,35,3,1806
113,5258,7,1,10
114,758,20,1,1720
115,8150,21,1,2007
116,6914,8,1,15
117,3910,41,4,244
118,2385,45,1,36
119,2429,7,5,50
120,3298,14,2,3548
121,9669,41,2,122
122,1440,18,4,80
123,3640,42,2,194
124,3757,18,1,20
125,1998,49,1,39
126,520,35,1,602
127,6107,32,1,164
128,9705,34,1,143
129,806,28,3,558
130,8976,40,1,128
131,6756,19,5,115
132,4286,25,1,144
133,5603,17,1,45
134,1067,24,4,10652
135,5167,31,3,510
136,1603,11,1,1373
137,4355,25,1,144
138,4364,14,2,3548
139,8241,35,2,1204
140,7122,26,1,53
141,7831,42,4,388
142,2650,47,3,96
143,5986,15,1,46
144,1233,16,2,84
145,3244,39,1,580
146,425,45,2,72
147,2321,10,1,1952
148,4820,28,1,186
149,3006,8,1,15
150,8301,11,2,2746
151,9564,3,1,70
152,6846,31,1,170
153,3237,3,1,70
154,9798,44,4,328
155,6118,8,1,15
156,3348,21,2,4014
157,512,48,3,165
158,1923,0,3,288
159,5325,18,1,20
160,6029,29,3,330
161,1497,24,5,13315
162,399,9,1,11
163,7158,0,1,96
164,3325,26,1,53
165,5725,33,1,111
166,481,32,1,164
167,391,39,4,2320
168,8752,37,1,493
169,614,10,4,7808
170,1703,24,1,2663
171,9162,36,1,377
172,7406,28,1,186
173,5951,25,1,144
174,1142,20,1,1720
175,3043,1,1,21
176,9893,13,1,1826
177,6892,39,1,580
178,7187,39,2,1160
179,7792,6,3,45
180,2742,46,4,64
181,7116,35,1,602
182,9497,5,1,29
183,8595,5,4,116
184,3764,21,2,4014
185,5148,8,4,60
186,2564,46,3,48
187,5501,34,3,429
188,9153,11,3,4119
189,8800,2,1,75
190,7977,1,2,42
191,6832,1,3,63
192,178,34,2,286
193,9876,25,1,144
194,1451,8,3,45
195,3534,23,1,2795
196,3283,2,1,75
197,2667,1,1,21
198,3224,12,1,1992
199,1967,27,1,136
200,8431,4,5,285
201,9662,21,1,2007
202,1364,25,2,288
203,4912,47,1,32
204,1410,38,1,385
205,5262,44,1,82
206,1150,36,1,377
207,9074,19,1,23
208,4031,43,1,103
209,5230,30,1,110
210,9440,45,1,36
211,2289,49,4,156
212,8256,41,4,244
213,7509,16,1,42
214,6906,31,1,170
215,4140,6,1,15
216,2740,25,1,144
217,2479,39,1,580
218,2736,23,2,5590
219,164,15,1,46
220,6126,42,1,97
221,6435,49,3,117
222,7349,29,1,110
223,2884,33,3,333
224,737,22,1,1152
225,5825,0,1,96
226,6857,22,1,1152
227,856,41,3,183
228,3095,25,1,144
229,216,20,1,1720
230,4867,27,1,136
231,5058,34,1,143
232,9457,11,1,1373
233,3997,44,2,164
234,5610,19,5,115
235,1611,19,1,23
236,5687,13,1,1826
237,7239,36,1,377
238,3755,38,4,1540
239,61,6,1,15
240,9124,8,3,45
241,9096,36,1,377
242,1511,8,1,15
243,4141,33,2,222
244,3001,47,1,32
245,7587,43,1,103
246,8863,0,4,384
247,2279,39,4,2320
248,5714,20,2,3440
249,9140,3,1,70
250,386,4,1,57
251,7109,14,1,1774
252,1197,16,3,126
253,2719,10,1,1952
254,2302,13,2,3652
255,5949,27,2,272
256,3313,24,1,2663
257,8367,11,1,1373
258,6106,27,3,408
259,2896,13,5,9130
260,9456,23,3,8385
261,1204,3,1,70
262,4560,21,1,2007
263,5113,26,1,53
264,2474,8,2,30
265,4815,18,1,20
266,1303,17,1,45
267,3198,38,1,385
268,8028,5,1,29
269,7399,7,5,50
270,1554,34,1,143
271,8258,26,3,159
272,4814,24,1,2663
273,8047,25,1,144
274,9207,47,1,32
275,6024,0,1,96
276,4606,45,1,36
277,4528,20,4,6880
278,2004,28,1,186
279,1886,48,1,55
280,2567,45,1,36
281,6984,18,1,20
282,3866,19,1,23
283,8707,2,1,75
284,5489,25,3,432
285,3737,10,1,1952
286,8436,29,2,220
287,1309,21,1,2007
288,9200,46,3,48
289,3924,44,1,82
290,4794,35,1,602
291,122,40,3,384
292,4807,2,2,150
293,8419,32,2,328
294,2609,48,2,110
295,7356,11,2,2746
296,6116,31,1,170
297,6482,20,1,1720
298,5046,46,5,80
299,8800,40,1,128
300,2012,36,1,377
301,655,20,5,8600
302,5655,48,5,275
303,9476,38,3,1155
304,1087,5,3,87
305,1566,38,1,385
306,5403,9,1,11
307,160,47,1,32
308,5170,34,2,286
309,3821,15,1,46
310,1596,27,1,136
311,1148,42,1,97
312,1681,39,1,580
313,7516,8,1,15
314,9399,40,3,384
315,9934,49,1,39
316,3459,35,1,602
317,8503,6,2,30
318,8064,30,1,110
319,3226,43,3,309
320,5941,24,3,7989
321,6440,38,2,770
322,2925,19,1,23
323,3903,18,1,20
324,1133,34,2,286
325,8278,2,1,75
326,4500,43,1,103
327,2221,28,2,372
328,4606,7,1,10
329,3513,14,3,5322
330,1858,7,4,40
331,5025,29,2,220
332,2908,42,3,291
333,9632,43,2,206
334,718,9,1,11
335,5341,17,1,45
336,3136,5,1,29
337,6784,22,2,2304
338,6644,42,1,97
339,8928,6,1,15
340,4969,44,5,410
341,8737,40,1,128
342,1222,2,1,75
343,2967,37,1,493
344,6617,10,1,1952
345,2627,14,2,3548
346,7109,40,1,128
347,6356,35,2,1204
348,314,39,1,580
349,7648,49,3,117
350,1266,0,2,192
351,6146,24,5,13315
352,5021,48,1,55
353,3732,15,1,46
354,5287,31,2,340
355,8765,22,2,2304
356,3320,19,2,46
357,5952,3,1,70
358,4535,24,3,7989
359,9042,7,4,40
360,5305,37,1,493
361,1218,16,1,42
362,4914,22,1,1152
363,7605,48,2,110
364,1127,20,1,1720
365,673,19,1,23
366,4447,43,1,103
367,5993,11,1,1373
368,1597,20,1,1720
369,4413,43,1,103
370,3531,42,2,194
371,8528,5,1,29
372,7285,21,1,2007
373,6091,38,1,385
374,1300,3,3,210
375,4612,5,5,145
376,6543,12,1,1992
377,5599,10,2,3904
378,4145,25,3,432
379,1431,8,1,15
380,7904,18,3,60
381,7478,38,1,385
382,8075,2,1,75
383,4387,20,2,3440
384,7453,44,4,328
385,5219,24,1,2663
386,1243,26,3,159
387,583,45,1,36
388,5530,14,1,1774
389,5796,42,2,194
390,1098,46,1,16
391,5497,35,3,1806
392,4332,5,2,58
393,2980,21,2,4014
394,5108,10,1,1952
395,5754,9,3,33
396,990,1,1,21
397,3941,1,4,84
398,922,45,3,108
399,6079,17,2,90
400,9721,32,1,164
401,3351,15,1,46
402,9879,13,4,7304
403,6818,39,1,580
404,123,26,1,53
405,2945,46,2,32
406,4613,4,1,57
407,8754,5,1,29
408,3710,40,1,128
409,4927,6,1,15
410,2388,7,1,10
411,9503,17,1,45
412,416,23,3,8385
413,8715,21,1,2007
414,3555,19,1,23
415,5140,15,2,92
416,5286,1,1,21
417,3747,5,1,29
418,1552,16,1,42
419,1733,15,2,92
420,3692,5,1,29
421,8521,32,3,492
422,6977,20,1,1720
423,3990,32,4,656
424,9405,1,1,21
425,130,24,1,2663
426,9733,20,1,1720
427,936,46,5,80
428,9600,16,1,42
429,9660,27,3,408
430,8352,1,1,21
431,3761,1,2,42
432,5783,44,3,246
433,6069,27,1,136
434,8107,1,2,42
435,5291,16,1,42
436,6179,24,1,2663
437,8686,36,2,754
438,1781,46,1,16
439,7717,40,3,384
440,6076,34,1,143
441,2968,41,2,122
442,5390,37,2,986
443,5980,26,2,106
444,6582,21,1,2007
445,7566,39,1,580
446,6733,20,3,5160
447,4775,47,1,32
448,9927,16,1,42
449,4123,21,1,2007
450,1361,49,1,39
451,7603,36,3,1131
452,2443,2,5,375
453,8977,40,2,256
454,1955,45,4,144
455,2105,38,2,770
456,3011,43,3,309
457,1132,38,2,770
458,2870,10,2,3904
459,921,28,1,186
460,7436,47,2,64
461,277,35,1,602
462,2508,0,3,288
463,8797,13,2,3652
464,6527,40,4,512
465,1477,49,1,39
466,9589,29,2,220
467,1634,19,1,23
468,7789,10,5,9760
469,6285,18,5,100
470,9314,41,1,61
471,3195,42,1,97
472,307,23,1,2795
473,9796,19,1,23
474,2887,47,2,64
475,3577,18,1,20
476,5197,32,2,328
